run_id,db_name,runtime,sample,preqc_pct_dups_r1,preqc_pct_dups_r2,preqc_pct_gc_r1,preqc_pct_gc_r2,preqc_avg_len_r1,preqc_avg_len_r2,preqc_med_len_r1,preqc_med_len_r2,preqc_fail_r1,preqc_fail_r2,trim_clip,trim_head,trim_lead,trim_crop,trim_sliding_win,trim_trail,trim_min_len,trim_paired,trim_both,trim_fw_only,trim_rev_only,trim_dropped,postqc_pct_dups_r1,postqc_pct_dups_r2,postqc_pct_gc_r1,postqc_pct_gc_r2,postqc_avg_len_r1,postqc_avg_len_r2,postqc_med_len_r1,postqc_med_len_r2,postqc_fail_r1,postqc_fail_r2,bt_prefix,bt_mode,bt_sensitivity,bt_mixed,bt_discordant,bt_paired,bt_conc_0,bt_conc_1,bt_conc_more,kraken2_min_hits,kraken2_total,kraken2_classified,kraken2_unclassified,bracken_thresh,bracken_species,bracken_species_above_thresh,bracken_species_below_thresh,bracken_kept,bracken_discarded,bracken_redistributed,bracken_not_redistributed,bracken_total,bt_med_r1,bt_med_r2,bt_avg_r1,bt_avg_r2,clas_med_r1,clas_med_r2,clas_avg_r1,clas_avg_r2,unclas_med_r1,unclas_med_r2,unclas_avg_r1,unclas_avg_r2
run_1305_1720,k2_standard_16gb_20250402,00:02:36,ZC1_S4,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,327187,287711,4646,1206,33624,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,287711,287710,0,1,2,287710,212184,75526,0,286,286,0,61963,0,150199,22,212162,78.0,78.0,90.3,89.5,92.0,91.0,101.7,100.7,49.0,49.0,58.1,58.0
run_1305_1720,k2_standard_16gb_20250402,00:02:36,ZC2_S5,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,331292,267582,3491,1313,58906,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,267582,267582,0,0,2,267582,172435,95147,0,251,251,0,44278,0,128135,22,172413,63.0,63.0,71.7,71.7,75.0,75.0,82.7,82.6,46.0,46.0,51.9,51.9
run_1305_1720,k2_standard_16gb_20250402,00:02:36,ZC3_S6,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,328660,273943,3540,1306,49871,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,273943,273941,1,1,2,273941,183242,90699,0,238,238,0,51881,0,131334,27,183215,67.0,67.0,78.4,78.1,80.0,81.0,90.3,90.0,47.0,47.0,54.2,54.2
run_1305_1720,k2_standard_16gb_20250402,00:02:36,ZC4_S7,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,298033,238875,3147,1202,54809,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,238875,238874,0,1,2,238874,152509,86365,0,189,189,0,43542,0,108952,15,152494,62.0,62.0,73.4,73.2,75.0,75.0,85.8,85.5,45.0,45.0,51.4,51.4
run_1305_1720,k2_standard_16gb_20250402,00:02:36,ZP1_S20,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,349154,299533,4651,1387,43583,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,299533,299531,0,2,2,299531,211195,88336,0,267,267,0,59922,0,151239,34,211161,69.0,69.0,78.2,78.0,80.0,80.0,88.5,88.2,47.0,47.0,53.6,53.5
run_1305_1720,k2_standard_16gb_20250402,00:02:36,ZP2_S21,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,358936,293443,6427,1577,57489,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,293443,293442,0,1,2,293442,195405,98037,0,236,236,0,54413,0,140965,27,195378,64.0,64.0,73.4,73.1,76.0,76.0,84.2,83.9,46.0,46.0,51.7,51.7
run_1305_1720,k2_standard_16gb_20250402,00:02:36,ZP3_S22,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,404941,326857,3655,1642,72787,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,326857,326854,2,1,2,326854,215063,111791,0,238,238,0,59407,0,155634,22,215041,62.0,63.0,72.0,72.0,75.0,75.0,83.0,82.9,45.0,45.0,50.8,50.9
run_1305_1756,k2_standard_16gb_20250402,00:03:23,ZC1_S4,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,327187,287711,4646,1206,33624,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,287711,287710,0,1,2,287710,212184,75526,0,286,286,0,61963,0,150199,22,212162,78.0,78.0,90.3,89.5,92.0,91.0,101.7,100.7,49.0,49.0,58.1,58.0
run_1305_1756,k2_standard_16gb_20250402,00:03:23,ZC2_S5,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,331292,267582,3491,1313,58906,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,267582,267582,0,0,2,267582,172435,95147,0,251,251,0,44278,0,128135,22,172413,63.0,63.0,71.7,71.7,75.0,75.0,82.7,82.6,46.0,46.0,51.9,51.9
run_1305_1756,k2_standard_16gb_20250402,00:03:23,ZC3_S6,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,328660,273943,3540,1306,49871,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,273943,273941,1,1,2,273941,183242,90699,0,238,238,0,51881,0,131334,27,183215,67.0,67.0,78.4,78.1,80.0,81.0,90.3,90.0,47.0,47.0,54.2,54.2
run_1305_1756,k2_standard_16gb_20250402,00:03:23,ZC4_S7,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,298033,238875,3147,1202,54809,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,238875,238874,0,1,2,238874,152509,86365,0,189,189,0,43542,0,108952,15,152494,62.0,62.0,73.4,73.2,75.0,75.0,85.8,85.5,45.0,45.0,51.4,51.4
run_1305_1756,k2_standard_16gb_20250402,00:03:23,ZP1_S20,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,349154,299533,4651,1387,43583,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,299533,299531,0,2,2,299531,211195,88336,0,267,267,0,59922,0,151239,34,211161,69.0,69.0,78.2,78.0,80.0,80.0,88.5,88.2,47.0,47.0,53.6,53.5
run_1305_1756,k2_standard_16gb_20250402,00:03:23,ZP2_S21,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,358936,293443,6427,1577,57489,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,293443,293442,0,1,2,293442,195405,98037,0,236,236,0,54413,0,140965,27,195378,64.0,64.0,73.4,73.1,76.0,76.0,84.2,83.9,46.0,46.0,51.7,51.7
run_1305_1756,k2_standard_16gb_20250402,00:03:23,ZP3_S22,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,404941,326857,3655,1642,72787,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,326857,326854,2,1,2,326854,215063,111791,0,238,238,0,59407,0,155634,22,215041,62.0,63.0,72.0,72.0,75.0,75.0,83.0,82.9,45.0,45.0,50.8,50.9
run_1305_1612,k2_standard_16gb_20250402,00:02:15,ZC1_S4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,287710,212184,75526,0,286,286,0,61963,0,150199,22,212162,78.0,78.0,90.3,89.5,92.0,91.0,101.7,100.7,49.0,49.0,58.1,58.0
run_1305_1612,k2_standard_16gb_20250402,00:02:15,ZC2_S5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,267582,172435,95147,0,251,251,0,44278,0,128135,22,172413,63.0,63.0,71.7,71.7,75.0,75.0,82.7,82.6,46.0,46.0,51.9,51.9
run_1305_1612,k2_standard_16gb_20250402,00:02:15,ZC3_S6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,273941,183242,90699,0,238,238,0,51881,0,131334,27,183215,67.0,67.0,78.4,78.1,80.0,81.0,90.3,90.0,47.0,47.0,54.2,54.2
run_1305_1612,k2_standard_16gb_20250402,00:02:15,ZC4_S7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,238874,152509,86365,0,189,189,0,43542,0,108952,15,152494,62.0,62.0,73.4,73.2,75.0,75.0,85.8,85.5,45.0,45.0,51.4,51.4
run_1305_1612,k2_standard_16gb_20250402,00:02:15,ZP1_S20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,299531,211195,88336,0,267,267,0,59922,0,151239,34,211161,69.0,69.0,78.2,78.0,80.0,80.0,88.5,88.2,47.0,47.0,53.6,53.5
run_1305_1612,k2_standard_16gb_20250402,00:02:15,ZP2_S21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,293442,195405,98037,0,236,236,0,54413,0,140965,27,195378,64.0,64.0,73.4,73.1,76.0,76.0,84.2,83.9,46.0,46.0,51.7,51.7
run_1305_1612,k2_standard_16gb_20250402,00:02:15,ZP3_S22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,326854,215063,111791,0,238,238,0,59407,0,155634,22,215041,62.0,63.0,72.0,72.0,75.0,75.0,83.0,82.9,45.0,45.0,50.8,50.9
